file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,1,css,448b0db9,Steven Ouyang,2025-09-27,15:33:16,-07:00,2025-09-27T15:33:16-07:00,0,4
style.css,2,css,448b0db9,Steven Ouyang,2025-09-27,15:33:16,-07:00,2025-09-27T15:33:16-07:00,1,43
style.css,3,css,448b0db9,Steven Ouyang,2025-09-27,15:33:16,-07:00,2025-09-27T15:33:16-07:00,0,42
style.css,4,css,448b0db9,Steven Ouyang,2025-09-27,15:33:16,-07:00,2025-09-27T15:33:16-07:00,0,0
style.css,5,css,448b0db9,Steven Ouyang,2025-09-27,15:33:16,-07:00,2025-09-27T15:33:16-07:00,1,23
style.css,6,css,e3e5bbb1,Steven Ouyang,2025-10-08,22:46:17,-07:00,2025-10-08T22:46:17-07:00,1,15
style.css,7,css,e3e5bbb1,Steven Ouyang,2025-10-08,22:46:17,-07:00,2025-10-08T22:46:17-07:00,1,18
style.css,8,css,e3e5bbb1,Steven Ouyang,2025-10-08,22:46:17,-07:00,2025-10-08T22:46:17-07:00,1,12
style.css,9,css,e3e5bbb1,Steven Ouyang,2025-10-08,22:46:17,-07:00,2025-10-08T22:46:17-07:00,0,0
style.css,10,css,e3e5bbb1,Steven Ouyang,2025-10-08,22:46:17,-07:00,2025-10-08T22:46:17-07:00,0,0
style.css,11,css,e3e5bbb1,Steven Ouyang,2025-10-08,22:46:17,-07:00,2025-10-08T22:46:17-07:00,0,0
style.css,12,css,e3e5bbb1,Steven Ouyang,2025-10-08,22:46:17,-07:00,2025-10-08T22:46:17-07:00,0,0
style.css,13,css,e3e5bbb1,Steven Ouyang,2025-10-08,22:46:17,-07:00,2025-10-08T22:46:17-07:00,0,3
style.css,14,css,e3e5bbb1,Steven Ouyang,2025-10-08,22:46:17,-07:00,2025-10-08T22:46:17-07:00,1,12
style.css,15,css,e3e5bbb1,Steven Ouyang,2025-10-08,22:46:17,-07:00,2025-10-08T22:46:17-07:00,1,19
style.css,16,css,e3e5bbb1,Steven Ouyang,2025-10-08,22:46:17,-07:00,2025-10-08T22:46:17-07:00,1,23
style.css,17,css,e3e5bbb1,Steven Ouyang,2025-10-08,22:46:17,-07:00,2025-10-08T22:46:17-07:00,1,25
style.css,18,css,e3e5bbb1,Steven Ouyang,2025-10-08,22:46:17,-07:00,2025-10-08T22:46:17-07:00,1,37
style.css,19,css,a229973a,Steven Ouyang,2025-10-16,10:07:59,-07:00,2025-10-16T10:07:59-07:00,1,39
style.css,20,css,e3e5bbb1,Steven Ouyang,2025-10-08,22:46:17,-07:00,2025-10-08T22:46:17-07:00,0,0
style.css,21,css,e3e5bbb1,Steven Ouyang,2025-10-08,22:46:17,-07:00,2025-10-08T22:46:17-07:00,0,0
style.css,22,css,e3e5bbb1,Steven Ouyang,2025-10-08,22:46:17,-07:00,2025-10-08T22:46:17-07:00,0,5
style.css,23,css,e3e5bbb1,Steven Ouyang,2025-10-08,22:46:17,-07:00,2025-10-08T22:46:17-07:00,2,6
style.css,24,css,e3e5bbb1,Steven Ouyang,2025-10-08,22:46:17,-07:00,2025-10-08T22:46:17-07:00,2,20
style.css,25,css,e3e5bbb1,Steven Ouyang,2025-10-08,22:46:17,-07:00,2025-10-08T22:46:17-07:00,2,13
style.css,26,css,e3e5bbb1,Steven Ouyang,2025-10-08,22:46:17,-07:00,2025-10-08T22:46:17-07:00,2,17
style.css,27,css,e3e5bbb1,Steven Ouyang,2025-10-08,22:46:17,-07:00,2025-10-08T22:46:17-07:00,2,13
style.css,28,css,e3e5bbb1,Steven Ouyang,2025-10-08,22:46:17,-07:00,2025-10-08T22:46:17-07:00,2,37
style.css,29,css,e3e5bbb1,Steven Ouyang,2025-10-08,22:46:17,-07:00,2025-10-08T22:46:17-07:00,1,0
style.css,30,css,e3e5bbb1,Steven Ouyang,2025-10-08,22:46:17,-07:00,2025-10-08T22:46:17-07:00,0,0
style.css,31,css,e3e5bbb1,Steven Ouyang,2025-10-08,22:46:17,-07:00,2025-10-08T22:46:17-07:00,0,13
style.css,32,css,e3e5bbb1,Steven Ouyang,2025-10-08,22:46:17,-07:00,2025-10-08T22:46:17-07:00,1,25
style.css,33,css,e3e5bbb1,Steven Ouyang,2025-10-08,22:46:17,-07:00,2025-10-08T22:46:17-07:00,1,25
style.css,34,css,e3e5bbb1,Steven Ouyang,2025-10-08,22:46:17,-07:00,2025-10-08T22:46:17-07:00,1,37
style.css,35,css,e3e5bbb1,Steven Ouyang,2025-10-08,22:46:17,-07:00,2025-10-08T22:46:17-07:00,1,20
style.css,36,css,a229973a,Steven Ouyang,2025-10-16,10:07:59,-07:00,2025-10-16T10:07:59-07:00,1,39
style.css,37,css,e3e5bbb1,Steven Ouyang,2025-10-08,22:46:17,-07:00,2025-10-08T22:46:17-07:00,0,0
style.css,38,css,e3e5bbb1,Steven Ouyang,2025-10-08,22:46:17,-07:00,2025-10-08T22:46:17-07:00,0,0
style.css,39,css,e3e5bbb1,Steven Ouyang,2025-10-08,22:46:17,-07:00,2025-10-08T22:46:17-07:00,0,10
style.css,40,css,e3e5bbb1,Steven Ouyang,2025-10-08,22:46:17,-07:00,2025-10-08T22:46:17-07:00,1,25
style.css,41,css,e3e5bbb1,Steven Ouyang,2025-10-08,22:46:17,-07:00,2025-10-08T22:46:17-07:00,1,25
style.css,42,css,e3e5bbb1,Steven Ouyang,2025-10-08,22:46:17,-07:00,2025-10-08T22:46:17-07:00,1,39
style.css,43,css,a229973a,Steven Ouyang,2025-10-16,10:07:59,-07:00,2025-10-16T10:07:59-07:00,1,69
style.css,44,css,e3e5bbb1,Steven Ouyang,2025-10-08,22:46:17,-07:00,2025-10-08T22:46:17-07:00,0,0
style.css,45,css,e3e5bbb1,Steven Ouyang,2025-10-08,22:46:17,-07:00,2025-10-08T22:46:17-07:00,0,0
style.css,46,css,e3e5bbb1,Steven Ouyang,2025-10-08,22:46:17,-07:00,2025-10-08T22:46:17-07:00,0,4
style.css,47,css,e3e5bbb1,Steven Ouyang,2025-10-08,22:46:17,-07:00,2025-10-08T22:46:17-07:00,1,33
style.css,48,css,e3e5bbb1,Steven Ouyang,2025-10-08,22:46:17,-07:00,2025-10-08T22:46:17-07:00,1,32
style.css,49,css,a229973a,Steven Ouyang,2025-10-16,10:07:59,-07:00,2025-10-16T10:07:59-07:00,1,23
style.css,50,css,a229973a,Steven Ouyang,2025-10-16,10:07:59,-07:00,2025-10-16T10:07:59-07:00,1,0
style.css,51,css,e3e5bbb1,Steven Ouyang,2025-10-08,22:46:17,-07:00,2025-10-08T22:46:17-07:00,0,0
style.css,52,css,e3e5bbb1,Steven Ouyang,2025-10-08,22:46:17,-07:00,2025-10-08T22:46:17-07:00,0,0
style.css,53,css,a229973a,Steven Ouyang,2025-10-16,10:07:59,-07:00,2025-10-16T10:07:59-07:00,0,3
style.css,54,css,a229973a,Steven Ouyang,2025-10-16,10:07:59,-07:00,2025-10-16T10:07:59-07:00,1,44
style.css,55,css,a229973a,Steven Ouyang,2025-10-16,10:07:59,-07:00,2025-10-16T10:07:59-07:00,1,39
style.css,56,css,a229973a,Steven Ouyang,2025-10-16,10:07:59,-07:00,2025-10-16T10:07:59-07:00,1,39
style.css,57,css,a229973a,Steven Ouyang,2025-10-16,10:07:59,-07:00,2025-10-16T10:07:59-07:00,0,0
style.css,58,css,a229973a,Steven Ouyang,2025-10-16,10:07:59,-07:00,2025-10-16T10:07:59-07:00,0,0
style.css,59,css,a229973a,Steven Ouyang,2025-10-16,10:07:59,-07:00,2025-10-16T10:07:59-07:00,0,0
style.css,60,css,e3e5bbb1,Steven Ouyang,2025-10-08,22:46:17,-07:00,2025-10-08T22:46:17-07:00,0,4
style.css,61,css,e3e5bbb1,Steven Ouyang,2025-10-08,22:46:17,-07:00,2025-10-08T22:46:17-07:00,1,12
style.css,62,css,e3e5bbb1,Steven Ouyang,2025-10-08,22:46:17,-07:00,2025-10-08T22:46:17-07:00,1,30
style.css,63,css,e3e5bbb1,Steven Ouyang,2025-10-08,22:46:17,-07:00,2025-10-08T22:46:17-07:00,1,7
style.css,64,css,e3e5bbb1,Steven Ouyang,2025-10-08,22:46:17,-07:00,2025-10-08T22:46:17-07:00,0,0
style.css,65,css,e3e5bbb1,Steven Ouyang,2025-10-08,22:46:17,-07:00,2025-10-08T22:46:17-07:00,0,0
style.css,66,css,e3e5bbb1,Steven Ouyang,2025-10-08,22:46:17,-07:00,2025-10-08T22:46:17-07:00,0,10
style.css,67,css,e3e5bbb1,Steven Ouyang,2025-10-08,22:46:17,-07:00,2025-10-08T22:46:17-07:00,1,12
style.css,68,css,e3e5bbb1,Steven Ouyang,2025-10-08,22:46:17,-07:00,2025-10-08T22:46:17-07:00,1,29
style.css,69,css,e3e5bbb1,Steven Ouyang,2025-10-08,22:46:17,-07:00,2025-10-08T22:46:17-07:00,1,18
style.css,70,css,e3e5bbb1,Steven Ouyang,2025-10-08,22:46:17,-07:00,2025-10-08T22:46:17-07:00,0,0
style.css,71,css,e3e5bbb1,Steven Ouyang,2025-10-08,22:46:17,-07:00,2025-10-08T22:46:17-07:00,0,0
